"estimator","variable","estimate","stderr","convergence","setup_id","sample_id","sigma","cutoff","u_dist","x_dist"
"tsgauss","sigma",0.179838111158159,0.0277441324398652,0,1,1,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0590347205255499,0.0461392474427826,0,1,1,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.01591009989478,0.0335137349463153,0,1,1,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.03170493712745,0.0326253747456356,0,1,1,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.211317509114911,0.0253278260946584,0,1,2,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0285211972334483,0.0467897659027854,0,1,2,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.02468824866893,0.0336361635631794,0,1,2,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.0462509720993,0.0330853607599907,0,1,2,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.191531172825737,0.0247624576164033,0,1,3,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0720344691853099,0.0456340380023461,0,1,3,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.00227168075117,0.0333116623206727,0,1,3,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.02040811061055,0.0322681377243835,0,1,3,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.200885216752533,0.0325316008490471,0,1,4,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0720998656176266,0.0462448027752121,0,1,4,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.01436483651072,0.0336931836582772,0,1,4,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.03406522611445,0.0327000136369869,0,1,4,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.180076343564921,0.0208063539744659,0,1,5,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.0421713885681131,0.0446402847161022,0,1,5,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.981809564149598,0.032062739907529,0,1,5,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.998187111601495,0.0315654480368541,0,1,5,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.194326888966771,0.0303797393343362,0,1,6,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0304902735681113,0.0453257504517365,0,1,6,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.994710453966902,0.0329153829261418,0,1,6,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.01351459141275,0.0320501455067921,0,1,6,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.17866197640679,0.0269313926641327,0,1,7,0.2,1,"gauss","gauss"
"tsgauss","mu_x",0.00964370342133199,0.0449865666885771,0,1,7,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.989937113860934,0.0329449539125801,0,1,7,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.00593021189986,0.0318103063677937,0,1,7,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.156581895979945,0.029464718719578,0,1,8,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.011909817187818,0.0476752795396695,0,1,8,0.2,1,"gauss","gauss"
"tsgauss","sd_x",1.05448956820072,0.0343473237938237,0,1,8,0.2,1,"gauss","gauss"
"tsgauss","sd_w",1.06605165897006,0.0337115134574646,0,1,8,0.2,1,"gauss","gauss"
"tsgauss","sigma",0.210507586114682,0.0261498592955352,0,1,9,0.2,1,"gauss","gauss"
"tsgauss","mu_x",-0.0425784886108159,0.0426769651861159,0,1,9,0.2,1,"gauss","gauss"
"tsgauss","sd_x",0.930778295265121,0.0314826316218708,0,1,9,0.2,1,"gauss","gauss"
"tsgauss","sd_w",0.954285952295472,0.0301771714835648,0,1,9,0.2,1,"gauss","gauss"
